Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
5249.05960218955,-8.838672908830304,5249.05960218955,552.4478291463975,37294241905.46907,-8.838672908830304,556.0355212210437,32202270.677062817,488481607.25564694,786160648021.3572,0.0
5268.5422694131885,-8.242269623922672,5268.5422694131885,564.08001415428,37271332577.703674,-8.242269623922672,545.840467438635,30816928.028535392,466480242.05040425,785628157517.3555,0.0
5291.643394647584,-6.654258518807768,5291.643394647584,580.4551915975264,37304568289.1813,-6.654258518807768,536.2606504135083,29365051.534188375,443710094.829317,786334961588.0044,0.0
5311.595438008286,-5.168536412460032,5311.595438008286,608.4818296917749,37318255795.14987,-5.168536412460032,524.725064191058,27838473.829693362,419646436.28029025,786632675835.093,0.0
5311.770408779096,-2.932980490293371,5311.770408779096,628.013489622484,37324457454.339355,-2.932980490293371,508.53727104316874,25948152.541656327,389545373.0325082,786771467962.9724,0.0
5325.303118976288,-1.102718357718052,5325.303118976288,729.8678068250392,37197687929.05772,-1.102718357718052,502.85803029691135,24648949.04663947,369865314.2829057,784045369391.6157,0.0
5585.503038220311,-8.090196846551402,5585.503038220311,530.8631916154313,36063183364.10333,-8.090196846551402,516.7384698566852,28239648.25032687,425171812.45624614,759802423413.3245,0.0
5598.90888256087,-6.323732111087814,5598.90888256087,547.5463869993082,36074884070.54022,-6.323732111087814,503.0905564568957,26555911.368439894,398936100.0475591,760051917040.3063,0.0
5601.258071295127,-4.832205027440356,5601.258071295127,563.1435682985663,36081326670.61713,-4.832205027440356,485.9170334195949,24557624.335256685,367703587.53185695,760196299415.0254,0.0
5603.913638683014,-2.951453830896957,5603.913638683014,578.4924470985359,36090987580.92828,-2.951453830896957,467.9598861312998,22586673.79909626,336588706.3830869,760407518010.5447,0.0
5612.456095081798,-0.6472014111661071,5612.456095081798,584.7272392084193,36071041829.49737,-0.6472014111661071,452.54105451256316,21045488.54356636,312154285.61667037,759966888807.9691,0.0
5612.270113413409,1.2940017920188551,5612.270113413409,582.8094791448267,36107628798.403854,1.2940017920188551,446.19185851546285,20521284.73509701,303978822.7011387,760805532037.8015,0.0
5616.825898391536,2.9667767615175626,5616.825898391536,576.4433281464239,36118354320.86904,2.9667767615175626,449.09186036025585,21045529.446207795,312629146.216755,761030115391.7273,0.0
5618.8523747200525,4.704062908416481,5618.8523747200525,561.7329373367944,36110928056.34822,4.704062908416481,462.8332405606943,22554782.62658824,336592557.6643272,760849667073.9326,0.0
5625.913266025058,6.299068535567891,5625.913266025058,543.7269097238724,36117178305.59525,6.299068535567891,479.33382169857407,24434267.58508859,365874242.23345906,760965036184.073,0.0
5622.110292890869,7.322998684504647,5622.110292890869,524.0884490417026,36115199856.678604,7.322998684504647,492.5071149881993,25995751.841812532,389917466.0990594,760906871621.5896,0.0
5634.7204818592245,7.963024832807646,5634.7204818592245,508.0347291478073,36122782180.14963,7.963024832807646,501.4911404198612,27035581.972304203,406099311.02624494,761058941616.9956,0.0
5641.12938746188,7.695119901090716,5641.12938746188,505.2400428331275,36109874373.89717,7.695119901090716,507.9549891317772,27659726.669006936,415844091.9431579,760757745469.9807,0.0
5632.624950647838,7.81835473314792,5632.624950647838,510.1893410900896,36112358917.74003,7.81835473314792,503.1926824101797,26947857.854379814,404524724.55365974,760812313296.8442,0.0
5631.659898646075,6.691606537210189,5631.659898646075,520.7851510373841,36108754628.42642,6.691606537210189,490.10245638010485,25352893.44110499,379599413.16127074,760736352542.7449,0.0
5631.2141694924685,5.468530648079605,5631.2141694924685,539.537501598605,36098916250.81818,5.468530648079605,475.9801694637767,23722387.73497941,354385318.61540055,760527450273.8082,0.0
5672.357037389777,-4.63336477012721,5672.357037389777,570.2938186579299,36188602742.05828,-4.63336477012721,437.0073183250064,19599337.156148482,290361150.6270194,762453503938.5002,0.0
5663.679427384897,7.940694897984435,5663.679427384897,513.4063604322118,36146699304.73665,7.940694897984435,509.5901180805202,27872684.604935396,419266307.7614573,761526612807.3635,0.0
5846.063073473185,-6.686550686081322,5846.063073473185,1001.5019570468419,36174309529.563736,-6.686550686081322,533.369137833906,28577897.5586329,429644207.7568936,761877679242.1509,0.0
7782.1734706206635,9.054141201457654,7782.1734706206635,595.1432642587987,36248235579.09177,9.054141201457654,590.8780026294959,38831094.90213768,599824923.5002455,760806800077.0144,0.0
7774.149240366459,8.427336085473332,7774.149240366459,610.9369346151495,36233760836.94517,8.427336085473332,580.695846284972,37018487.29294997,570549892.5621445,760494655288.4944,0.0
7781.791033952815,7.0571663726312615,7781.791033952815,630.2071023363587,36219589734.10716,7.0571663726312615,563.782828627288,34314793.771271124,527044326.60305065,760179991239.2864,0.0
7802.912077282318,4.968164488079913,7802.912077282318,649.3935513426636,36231491301.63379,4.968164488079913,543.9741753234869,31586077.725859094,483143124.50175977,760428030492.2074,0.0
7815.882272432051,2.8443798763426926,7815.882272432051,663.1558500217614,36235737512.54223,2.8443798763426926,525.102576009265,29354179.599813107,447051173.6680409,760518799490.1771,0.0
7795.883873213029,0.2700271931275493,7795.883873213029,668.5105752032447,36217809124.55205,0.2700271931275493,514.5316312233889,28380116.87044785,431594512.0662321,760142910308.0096,0.0
7808.136341790474,-2.57612040134923,7808.136341790474,664.8844773063117,36239931157.462234,-2.57612040134923,514.7894776221842,28880806.846319813,440456155.61749727,760611774773.6858,0.0
7819.8903746991755,-4.711658082109727,7819.8903746991755,654.6597045975905,36240579191.46344,-4.711658082109727,527.8917845038757,30912946.907324273,474225369.83291304,760609423923.0856,0.0
7831.699427475295,-6.975005635881308,7831.699427475295,636.6531529032299,36258569441.316124,-6.975005635881308,546.845689129068,33747546.61867088,520126965.1245882,760984782087.4594,0.0
7814.75197797096,-8.939879141628872,7814.75197797096,619.138777528253,36244074001.8839,-8.939879141628872,568.5318099496033,36825735.40652026,569238373.814761,760683716311.5983,0.0
7834.4352717154325,-9.48714643750634,7834.4352717154325,600.4103005100217,36275598895.37271,-9.48714643750634,583.3644045881883,38698605.02875192,598658448.670802,761366012357.1536,0.0
